Store Name,Address,lat,lon
G3ポロス横手南店,秋田県横手市婦気大堤字中田4-1ｲｵﾝｽｰﾊﾟｰｾﾝﾀｰ横手南店2階,39.2951082,140.5528442
モーリーファンタジー能代,秋田県能代市柳町１１−１　３Ｆ,40.2090776,140.024629
ＳＯＹＵＧａｍｅＦｉｅｌｄ能代店,秋田県能代市鰄渕字古屋布１番イオンタウン能代内,40.1880707,140.081331
プラサカプコン大曲店,秋田県大仙市和合字坪立１７７イオン大曲ＳＣ２Ｆ,39.4376946,140.5092729
モーリーファンタジー本荘,秋田県由利本荘市石脇田中１３８番地,39.3916174,140.0273777
ＧｉＧＯ北山形,山形県山形市北町１−３−２０,38.2683251,140.3313126
トレジャーサバイバル,山形県山形市北町２−２−４５,38.2686947,140.3294584
あそビレッジ山形店,山形県山形市成沢西５−３−２７,38.2085525,140.317765
パルケ・デ・アミーゴ！山形店,山形県山形市嶋北１−３−１,38.2836674,140.3216751
スタジオプリモ山形店,山形県山形市城南町１−１−１　霞城セントラル２Ｆ,38.2500132,140.3268363
アピナ鶴岡店,山形県鶴岡市文下字広野１−１,38.7584404,139.8439546
ＧｉＧＯ天童,山形県天童市南町１−５−２６,38.3430246,140.3740405
ソユーゲームフィールド天童店,山形県天童市芳賀タウン北４−１−１ イオンモール天童２Ｆ,38.3472646,140.3656803
ＧｉＧＯ米沢,山形県米沢市大字花沢字タナコ原１７７,37.9254808,140.126685
モーリーファンタジー米沢,山形県米沢市春日2-13-4　2F,37.9232276,140.1087996
ＳＯＹＵＧａｍｅＦｉｅｌｄ酒田店,山形県酒田市泉町１９８番地イオンタウン酒田内,38.9357019,139.846927
ＧｉＧＯ新庄,山形県新庄市金沢１０６８,38.7646478,140.308515
ＧｉＧＯ庄内,山形県東田川郡三川町猪字大堰端３２６番地６,38.81952769999999,139.8349139
ソユーゲームフィールド三川店,山形県東田川郡三川町大字猪子字和田庫１２８−１イオン三川１Ｆ,38.8160591,139.8361657
モーリーファンタジー東根,山形県東根市さくらんぼ駅前３−７−１５ｲｵﾝ東根店２Ｆ,38.4274539,140.3879861
